# Default hitbox sizes for bundled mob models.
# model resource<TAB>width<TAB>height, in blocks.
# Width is capped at 8.0 and height at 16.0 because the box also drives collision.
arphex:geo/antalate.geo.json	0.71	0.44
arphex:geo/antgiant.geo.json	0.71	0.44
arphex:geo/arachnoid_trisector.geo.json	2.8	1.84
arphex:geo/arthropleura.geo.json	0.79	0.48
arphex:geo/arthropleura_head.geo.json	1.42	0.89
arphex:geo/beetletickmite.geo.json	0.79	0.69
arphex:geo/bloodeagle.geo.json	4.11	3.7
arphex:geo/bloodworm.geo.json	0.3	0.3
arphex:geo/brutaliser.geo.json	1.48	3.43
arphex:geo/butterfly.geo.json	0.67	0.43
arphex:geo/caveweb.geo.json	0.3	2.93
arphex:geo/centipedeevictor.geo.json	1.04	0.53
arphex:geo/centipedestalker.geo.json	0.55	0.3
arphex:geo/crabconstrictor.geo.json	1.21	1.22
arphex:geo/diabolos.geo.json	1.91	1.31
arphex:geo/draconicvoidlasher.geo.json	1.42	1.32
arphex:geo/dragonfly.geo.json	0.64	0.34
arphex:geo/entropy_conduit.geo.json	0.88	1.39
arphex:geo/flamethrower.geo.json	0.3	0.56
arphex:geo/flyfesterer.geo.json	0.67	0.39
arphex:geo/giantenemyspider.geo.json	1.53	0.82
arphex:geo/giantweb.geo.json	0.3	2.31
arphex:geo/hornet.geo.json	0.76	0.4
arphex:geo/idk_stalker.geo.json	1.04	1.3
arphex:geo/locust.geo.json	0.72	0.35
arphex:geo/longlegs.geo.json	1.01	1.04
arphex:geo/longlegsfly.geo.json	1.28	0.39
arphex:geo/maggot.geo.json	0.3	0.3
arphex:geo/mantis.geo.json	1.0	2.21
arphex:geo/millipede.geo.json	0.41	0.3
arphex:geo/minisphere.geo.json	0.32	0.3
arphex:geo/mosquito.geo.json	0.78	0.51
arphex:geo/mothlarvae.geo.json	0.7	0.39
arphex:geo/rhinobeetle.geo.json	0.78	0.64
arphex:geo/riverroach.geo.json	0.78	0.66
arphex:geo/scorpioidbloodluster.geo.json	2.72	4.75
arphex:geo/scorpionstriker.geo.json	0.79	0.43
arphex:geo/scythe.geo.json	0.3	1.68
arphex:geo/silverfishspectre.geo.json	0.3	0.3
arphex:geo/sphere.geo.json	0.5	0.3
arphex:geo/spider_ambusher.geo.json	1.22	0.8
arphex:geo/spider_infestor.geo.json	1.17	0.85
arphex:geo/spider_lunger.geo.json	1.41	0.56
arphex:geo/spider_recluse.geo.json	0.86	0.74
arphex:geo/spider_wolf.geo.json	1.05	0.6
arphex:geo/spiderbrood.geo.json	0.89	0.43
arphex:geo/spiderflat.geo.json	0.85	0.4
arphex:geo/spiderfunnel.geo.json	1.05	0.37
arphex:geo/spiderjumping.geo.json	0.78	0.38
arphex:geo/spiderlarvae.geo.json	0.89	0.43
